Name,Price
"Monitor Gamer AOC 24G2S, 23.8 Pol, VA, FHD, 1ms, 165Hz, FreeSync Premium, HDMI/DP, 24G2S-BK","R$ 799,99"
"Monitor Portatil Gamer Pichau Verse, 16 Pol, IPS, 2K, 1ms, 120Hz, FreeSync, Mini HDMI, PG-VRS-BL01","R$ 879,99"
"Monitor Gamer Asus ROG Swift PG32UQR, 32 Pol, IPS, 4K UHD, 1ms, 144Hz, FreeSync Premium/G-Sync, HDMI/DP, PG32UQR","R$ 7.499,99"
"Monitor Gamer Mancer Valak VX3H, 27 Pol, VA, Curvo, 2K, 1ms, 240Hz, FreeSync, HDMI/DP, MCR-VLKVX3H-BL01","R$ 1.399,99"
"Monitor Gamer Mancer Valak VX3, 27 Pol, VA, Curvo, 2K, 1ms, 180Hz, FreeSync, HDMI/DP, MCR-VLKVX3-BL01","R$ 1.069,99"
"Monitor Gamer AsRock CL25FF, 24.5 Pol, IPS, FHD, 1ms, 100Hz, FreeSync, HDMI/VGA, CL25FF","R$ 659,99"
"Monitor Gamer Mancer Valak Z3H, 24 Pol, IPS, 2K, 1ms, 180Hz, FreeSync e G-Sync, HDMI/DP, MCR-VKZ3H-BL01","R$ 929,99"
"Monitor Gamer Pichau Nexus Wide 29, 29 Pol, IPS, Ultrawide, WFHD, 1ms, 100Hz, FreeSync, HDMI/DP, PG-NXSW29-BL01","R$ 1.099,99"
"Monitor Gamer Pichau Nexus Wide 34, 34 Pol, VA, Ultrawide, Curvo, 2K, 1ms, 165Hz, FreeSync, HDMI/DP, PG-NXSW34-BL01","R$ 1.899,99"
"Monitor Gamer Pichau Athen V3, 27 Pol, IPS, FHD, 1ms, 100Hz, FreeSync, HDMI/VGA, PG-ATH27V3-BL01","R$ 934,99"
"Monitor Gamer Pichau Athen V3, 24 Pol, IPS, FHD, 1ms, 100Hz, FreeSync, HDMI/VGA, PG-ATH24V3-BL01","R$ 764,99"
"Monitor Gamer AOC Hero Quad Q27G2, 27 Pol, VA, QHD, 1ms, 155Hz, FreeSync Premium, Q27G2","R$ 1.459,99"
"Monitor Profissional Pichau Perseus Pro, 27 Pol. IPS, QHD, sRGB100, 75Hz, Base Ajustavel, HDMI/DP, PC-PRS27-MPP01","R$ 1.659,99"
